,Memory MPN,Manufacturer,RCD Manufacturer,Short Memtest,Extended Memtest,Latest SHA
1,HMCG84MEBRA112NBB,SK hynix,Rambus,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
2,HMCG88AGBRA188NN_AA,SK hynix,Montage,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
3,KF548R36RB-32,Kingston,Montage,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
4,KF560R32RB-16,Kingston,REA Renesas,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
5,M321R4GA0BB0-CQKMS,Samsung,Montage,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
6,M321R4GA3BB6-CQKET,Samsung,IDT Renesas,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
7,M321R4GA3BB6-CQKMG,Samsung,Montage,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
8,M321R4GA3PB0-CWMCJ,Samsung,IDT Renesas,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
9,M329R8GA0BB0-CQKVG,Samsung,Rambus,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
10,MTC10F1084S1RC48BA1_JHCC,Micron,Rambus,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
11,MTC10F1084S1RC48BA1_NGCC,Micron,IDT Renesas,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
12,MTC10F1084S1RC48BA1_NHFF,Micron,Rambus,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
13,MTC18F104S1PC48BA2_NGCC,Micron,IDT Renesas,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
14,MTC20F2085S1RC48BA1_JGCC,Micron,IDT Renesas,6/6,2/2,[35bfd92](https://github.com/antmicro/rowhammer-tester/tree/35bfd9252417346e4b1f38a753c22e0541185b9e)
15,MTC20F2085S1RC48BA1_JHCC,Micron,Rambus,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
16,MTC20F2085S1RC48BA1_PGCC,Micron,IDT Renesas,6/6,2/2,[bd05e52](https://github.com/antmicro/rowhammer-tester/tree/bd05e520f30fea3b554e495bb3a92d60d0a08c97)
